iter	RMSE
0	17985.65038
1	16835.2972
2	15761.35747
3	14802.01015
4	13984.26025
5	13306.63112
6	12676.33581
7	12068.77104
8	11539.68015
9	11067.15877
10	10665.69664
11	10300.60587
12	10007.87997
13	9742.031266
14	9462.849034
15	9224.23013
16	9035.076752
17	8830.052318
18	8660.397903
19	8533.772604
20	8408.870507
21	8265.124602
22	8141.68293
23	8055.566225
24	7927.969912
25	7842.540486
26	7767.249078
27	7668.200766
28	7593.300503
29	7506.4683
30	7452.669474
31	7386.437489
32	7325.339047
33	7274.667135
34	7212.598406
35	7163.423055
36	7110.714741
37	7064.341002
38	7032.908861
39	6999.195197
40	6952.964789
41	6923.100978
42	6895.187694
43	6850.916567
44	6828.519897
45	6801.243575
46	6772.616779
47	6751.043246
48	6727.564262
49	6699.71661
50	6679.798653
51	6656.403789
52	6622.979512
53	6605.402532
54	6582.644821
55	6553.884084
56	6532.71175
57	6510.134558
58	6483.321781
59	6455.111203
60	6435.402542
61	6409.939227
62	6381.046581
63	6361.075014
64	6343.806064
65	6308.134098
66	6276.427556
67	6260.29815
68	6246.295275
69	6219.053875
70	6205.337103
71	6187.713201
72	6166.356243
73	6146.130066
74	6122.098585
75	6102.17227
76	6076.602596
77	6063.362936
78	6047.676876
79	6033.759029
80	6012.971428
81	5997.407161
82	5968.387641
83	5953.292687
84	5930.566596
85	5917.277505
86	5896.722418
87	5875.110125
88	5859.936756
89	5847.291451
90	5837.899037
91	5818.319485
92	5800.683697
93	5784.595554
94	5766.218886
95	5748.602164
96	5733.885565
97	5722.870224
98	5711.051615
99	5699.204538
100	5677.492752
101	5658.246263
102	5640.372164
103	5619.773811
104	5606.50302
105	5589.850639
106	5575.23415
107	5561.091539
108	5544.246608
109	5525.613068
110	5517.656627
111	5502.87967
112	5493.301856
113	5472.917512
114	5457.049599
115	5439.9741
116	5428.250924
117	5416.701552
118	5402.3496
119	5386.368699
120	5375.20459
121	5368.341055
122	5351.06667
123	5340.899926
124	5330.660689
125	5318.132676
126	5305.274971
127	5295.237219
128	5286.739786
129	5273.000741
130	5266.705763
131	5251.571262
132	5241.724332
133	5229.789203
134	5220.21653
135	5208.645599
136	5196.093107
137	5187.893007
138	5181.915525
139	5168.524593
140	5155.46075
141	5146.968601
142	5135.43704
143	5124.732759
144	5116.499634
145	5108.721662
146	5097.662521
147	5080.854515
148	5068.721948
149	5062.942654
