iter	Passed	Remaining
0	6	1028
1	13	968
2	19	945
3	25	916
4	29	860
5	34	832
6	40	821
7	44	792
8	50	785
9	54	769
10	59	754
11	64	741
12	69	732
13	75	731
14	79	718
15	85	712
16	90	710
17	96	706
18	101	697
19	106	690
20	111	687
21	117	683
22	122	678
23	128	673
24	134	671
25	139	664
26	144	658
27	149	649
28	155	649
29	162	648
30	169	649
31	174	642
32	179	636
33	188	643
34	193	634
35	197	626
36	203	622
37	208	613
38	213	606
39	217	598
40	223	595
41	229	589
42	234	583
43	239	576
44	243	568
45	247	560
46	252	553
47	257	547
48	261	539
49	267	534
50	272	528
51	276	521
52	283	518
53	287	511
54	292	504
55	297	499
56	302	492
57	307	487
58	312	481
59	317	476
60	322	470
61	327	465
62	332	459
63	338	455
64	343	448
65	348	443
66	352	436
67	357	431
68	363	426
69	369	421
70	373	415
71	377	409
72	381	402
73	386	397
74	392	392
75	398	387
76	402	381
77	408	377
78	413	371
79	418	366
80	423	360
81	428	355
82	433	350
83	440	345
84	445	340
85	449	334
86	453	328
87	457	322
88	462	316
89	467	311
90	472	306
91	477	301
92	483	296
93	488	290
94	492	285
95	497	279
96	502	274
97	507	269
98	511	263
99	516	258
100	522	253
101	530	249
102	538	245
103	543	240
104	549	235
105	554	230
106	559	224
107	564	219
108	569	214
109	574	208
110	579	203
111	584	198
112	589	193
113	595	188
114	600	182
115	605	177
116	610	172
117	615	167
118	620	161
119	625	156
120	629	150
121	633	145
122	638	140
123	643	134
124	648	129
125	653	124
126	658	119
127	662	113
128	666	108
129	671	103
130	676	98
131	681	92
132	687	87
133	693	82
134	698	77
135	702	72
136	707	67
137	714	62
138	719	56
139	725	51
140	736	47
141	744	41
142	749	36
143	756	31
144	763	26
145	768	21
146	775	15
147	780	10
148	786	5
149	798	0
